,verb.possession,verb.social,verb.stative,verb.communication,verb.creation,verb.body,verb.contact,verb.motion,verb.cognition,verb.consumption,verb.change,verb.competition,verb.emotion,verb.perception,verb.weather
63,,resist,finish,keep,,,touch,leave,decide,,shrink,,,,
64,,march,hesitate,scribble,,,kill,flit,understand,,gain,,,,
65,,hang,owe,grunt,,,run,lean,set,,hurt,,,,
66,,play,had,swear,,,pat,rise,examine,,way,,,,
67,,perform,spring,roar,,,stick,swing,had,,speed,,,,
68,,contain,delay,draw,,,knock,push,answer,,light,,,,
69,,bother,cram,pay,,,rest,press,kindle,,finish,,,,
70,,cover,pause,drop,,,collect,hop,,,steady,,,,
71,,sneak,enter,mutter,,,facedown,stray,,,cut,,,,
72,,cut,,mention,,,grab,back,,,swell,,,,
73,,guard,,bless,,,sweep,bob,,,appear,,,,
74,,admit,,welcome,,,wrench,stumble,,,suspend,,,,
75,,set,,wish,,,slam,clamber,,,buckle,,,,
76,,rear,,sell,,,send,follow,,,burst,,,,
77,,order,,notice,,,fly,return,,,crack,,,,
78,,examine,,got,,,bite,lead,,,fume,,,,
79,,had,,read,,,sink,step,,,set,,,,
80,,struggle,,whoop,,,hang,run,,,relax,,,,
81,,offer,,clear,,,paint,cross,,,flush,,,,
82,,enter,,push,,,score,fall,,,order,,,,
83,,dare,,excuse,,,flint,flip,,,had,,,,
84,,,,press,,,frog,start,,,sear,,,,
85,,,,add,,,cover,float,,,lessen,,,,
86,,,,chorus,,,finish,stick,,,clean,,,,
87,,,,forbid,,,spill,direct,,,delay,,,,
88,,,,sound,,,strain,force,,,twinkle,,,,
89,,,,touch,,,cut,streak,,,explode,,,,
90,,,,explain,,,suspend,hover,,,vanish,,,,
91,,,,talk,,,buckle,sweep,,,lock,,,,
92,,,,return,,,crack,scurry,,,color,,,,
93,,,,lead,,,set,send,,,,,,,
94,,,,cheer,,,paw,march,,,,,,,
95,,,,direct,,,rub,fly,,,,,,,
96,,,,ignore,,,grit,land,,,,,,,
97,,,,force,,,slope,sink,,,,,,,
98,,,,snarl,,,tug,outta,,,,,,,
99,,,,rest,,,struggle,speed,,,,,,,
100,,,,train,,,clean,wander,,,,,,,
101,,,,bet,,,bury,light,,,,,,,
102,,,,mouth,,,scrape,cover,,,,,,,
103,,,,moan,,,lock,topple,,,,,,,
104,,,,mind,,,destroy,overtake,,,,,,,
105,,,,send,,,round,glide,,,,,,,
106,,,,show,,,hitch,cut,,,,,,,
107,,,,announce,,,,burst,,,,,,,
108,,,,mean,,,,changin,,,,,,,
109,,,,inform,,,,set,,,,,,,
110,,,,learn,,,,skim,,,,,,,
111,,,,wheedle,,,,dive,,,,,,,
112,,,,score,,,,spring,,,,,,,
113,,,,growl,,,,struggle,,,,,,,
114,,,,demand,,,,trail,,,,,,,
115,,,,suspect,,,,race,,,,,,,
116,,,,cover,,,,surge,,,,,,,
117,,,,transfix,,,,sidle,,,,,,,
118,,,,convince,,,,droop,,,,,,,
119,,,,complain,,,,trip,,,,,,,
120,,,,hoot,,,,enter,,,,,,,
121,,,,cut,,,,,,,,,,,
122,,,,greet,,,,,,,,,,,
123,,,,alibi,,,,,,,,,,,
124,,,,admit,,,,,,,,,,,
125,,,,set,,,,,,,,,,,
126,,,,shriek,,,,,,,,,,,
127,,,,order,,,,,,,,,,,
128,,,,bellow,,,,,,,,,,,
129,,,,examine,,,,,,,,,,,
130,,,,had,,,,,,,,,,,
131,,,,scream,,,,,,,,,,,
132,,,,transfigure,,,,,,,,,,,
133,,,,curse,,,,,,,,,,,
134,,,,screw,,,,,,,,,,,
135,,,,plead,,,,,,,,,,,
136,,,,write,,,,,,,,,,,
137,,,,answer,,,,,,,,,,,
138,,,,",",,,,,,,,,,,
139,,,,color,,,,,,,,,,,
140,,,,pause,,,,,,,,,,,
141,,,,enter,,,,,,,,,,,
